,Smiles_Solute,Smiles_Solvent,Smiles_Merged,LogS,Source
0,CC(C)(C)[C@H](O)[C@H](Cc1ccc(Cl)cc1)n1cncn1,Cc1ccccc1,CC(C)(C)[C@@H]1O~Cc2ccc(~c3ncn(n3)[C@H]1Cc1ccc(Cl)cc1)cc2,-1.380697924124392,BigSolDB
1,CC1(C)COP(=O)(C(Nc2ccccc2)c2ccccc2)OC1,CC(C)O,CC1(C)COP2(=O)(~OC(C)(C)~N(c3ccccc3)C2c2ccccc2)OC1,-3.397940008672037,BigSolDB
2,Cc1cc(C)[nH]n1,Cc1ccccc1,Cc1cc2(C)~c3ccc(cc3)C~[nH]1n2,-1.4700565983413307,BigSolDB
3,CCCCC(=O)OCC,O,CCCCC1(=O)~O~O1CC,-2.25,Esol
4,c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,O,c1cc2ccc3ccc4ccc5cc6~O~c47c5c(c6)c(c1)c2c37,-9.018,Esol
5,OCc1ccccc1O[C@@H]1OC(CO)[C@@H](O)[C@@H](O)C1O,CC(C)=O,CC1(C)~O(c2ccccc2CO)C2(~O=1)OC(CO)[C@@H](O)[C@@H](O)C2O,-4.196679476421246,BigSolDB
6,C/C=C/C=C/C(=O)O,CC#N,C/C=C/C=C/C1(=O)~N#C(C)~O1,-2.204119982655925,BigSolDB
7,O=Cc1ccc(C=O)cc1,CCO,CC1~O=C(c2ccc(C=O)cc2)~O1,-2.1605848073161065,BigSolDB
8,Cc1cc(C)c(C(=O)P(=O)(c2ccccc2)c2ccccc2)c(C)c1,CC(C)=O,Cc1cc(C)c(C2(=O)~O=C(C)(C)~O=P2(c2ccccc2)c2ccccc2)c(C)c1,-1.1641192681826054,BigSolDB
9,CC(C)Oc1ccc2c(=O)c(-c3ccccc3)coc2c1,CO,CC(C)O1~CO~c2(=O)c(-c3ccccc3)coc3cc1ccc32,-3.0751007359857168,BigSolDB
10,O=C(O)c1ccc(CO)cc1,CO,O=C1(c2ccc(CO)cc2)~OC~O1,-1.550521600812635,BigSolDB
11,CC(CO)[C@H](C(=O)N[C@@H]1C2CC[C@@](C)([C@@H]1O)C2(C)C)O,CCO,CC1CO~C(C)O~C(=O)(N[C@@H]2C3CC[C@@](C)([C@@H]2O)C3(C)C)[C@@H]1O,-0.362324399,BNNLabs
12,O=c1cc(CBr)c2ccccc2[nH]1,CN(C)C=O,CN1(C)~c2(=O)cc(CBr)c3ccccc3[nH]2~C1=O,-2.669586226650809,BigSolDB
13,O=C(O)[C@@H]1Cc2ccccc2N1,O,O=C1([C@@H]2Cc3ccccc3N2)~O~O1,-3.511449283499556,BigSolDB
14,CCc1cccc(CC)c1N(COC)C(=O)CCl ,O,CCc1cccc(CC)c1N1CO(C)~O~C1(=O)CCl,-3.26,Esol
15,CCCC(C)(C)OC(=O)NC(=O)N,CCO,CCCC(C)(C)O1~C(C)O~C1(=O)NC(N)=O,-0.894470679,BNNLabs
